name,player_link,school,ast_per_g,fg3_pct,ft_pct,g_col,mp_per_g,n_season,pts_per_g,trb_per_g
Michael Durr,/cbb/players/michael-durr-1.html,Indiana,0.5,.000,.731,30,7.1,4.0,1.5,1.0
Jaime Jaquez,/cbb/players/jaime-jaquezjr-1.html,UCLA,2.3,.276,.761,34,30.5,3.0,13.9,5.7
Jules Bernard,/cbb/players/jules-bernard-1.html,UCLA,1.7,.337,.818,35,30.1,4.0,12.8,4.7
Tyger Campbell,/cbb/players/tyger-campbell-1.html,UCLA,4.3,.410,.838,33,32.4,3.0,11.9,2.5
Johnny Juzang,/cbb/players/johnny-juzang-1.html,UCLA,1.8,.360,.835,30,31.8,3.0,15.6,4.7
Myles Johnson,/cbb/players/myles-johnson-1.html,UCLA,0.7,,.533,35,18.1,4.0,3.6,5.4
Jaylen Clark,/cbb/players/jaylen-clark-1.html,UCLA,1.0,.259,.542,29,18.1,2.0,6.7,3.8
David Singleton,/cbb/players/david-singleton-2.html,UCLA,0.9,.451,.600,33,16.7,4.0,4.8,1.5
Cody Riley,/cbb/players/cody-riley-1.html,UCLA,1.0,.500,.672,26,21.6,4.0,7.3,3.9
Peyton Watson,/cbb/players/peyton-watson-1.html,UCLA,0.8,.226,.688,32,12.7,1.0,3.3,2.9
Enrique Freeman,/cbb/players/enrique-freeman-1.html,Akron,1.4,.000,.649,34,28.8,3.0,13.2,10.8
Xavier Castaneda,/cbb/players/xavier-castaneda-1.html,Akron,2.3,.373,.823,34,31.9,4.0,13.6,3.6
Ali Ali,/cbb/players/ali-ali-1.html,Akron,2.5,.407,.722,34,34.2,3.0,13.9,2.9
Mikal Dawson,/cbb/players/mikal-dawson-1.html,Akron,0.8,.360,.686,34,24.3,3.0,5.9,3.4
Greg Tribble,/cbb/players/greg-tribble-1.html,Akron,2.2,.222,.701,33,25.8,3.0,7.2,2.8
Aziz Bandaogo,/cbb/players/aziz-bandaogo-1.html,Akron,0.3,,.483,33,12.2,2.0,3.2,3.3
Garvin Clarke,/cbb/players/garvin-clarke-1.html,Akron,1.1,.339,.667,34,14.4,2.0,3.3,2.5
Timmy Allen,/cbb/players/timmy-allen-1.html,Texas,2.1,.267,.731,34,29.0,4.0,12.1,6.4
Marcus Carr,/cbb/players/marcus-carr-2.html,Texas,3.4,.338,.769,34,30.9,5.0,11.4,1.9
Andrew Jones,/cbb/players/andrew-jones-3.html,Texas,1.6,.320,.814,33,26.3,6.0,11.2,2.8
Christian Bishop,/cbb/players/christian-bishop-1.html,Texas,0.7,.333,.675,34,20.0,4.0,7.0,5.6
Courtney Ramey,/cbb/players/courtney-ramey-1.html,Texas,1.6,.350,.765,34,30.1,4.0,9.4,3.5
Brock Cunningham,/cbb/players/brock-cunningham-1.html,Texas,0.6,.478,.813,34,11.7,3.0,2.3,2.3
Jase Febres,/cbb/players/jase-febres-1.html,Texas,0.4,.329,.750,31,13.8,5.0,3.9,1.5
Devin Askew,/cbb/players/devin-askew-1.html,Texas,1.3,.320,.545,34,14.9,2.0,2.1,0.9
